COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC18;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;7
NBPERSMENFISC18;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;7
MED18;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP18;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6018;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE118;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE218;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE318;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE418;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE518;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;4
TP60AGE618;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;4
TP60TOL118;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;4
TP60TOL218;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT18;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;5
PTSA18;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO18;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN18;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;4
PPEN18;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT18;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;4
PPSOC18;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;4
PPFAM18;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI18;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;4
PPLOGT18;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT18;Part des impôts (%);Part des impôts (%);;;NUM;5
D118;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D918;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;6
RD18;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;01001;L'Abergement-Clémenciat;CHAR;5
CODGEO;Code géographique;Code géographique;01002;L'Abergement-de-Varey;CHAR;5
CODGEO;Code géographique;Code géographique;01004;Ambérieu-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01005;Ambérieux-en-Dombes;CHAR;5
CODGEO;Code géographique;Code géographique;01006;Ambléon;CHAR;5
CODGEO;Code géographique;Code géographique;01007;Ambronay;CHAR;5
CODGEO;Code géographique;Code géographique;01008;Ambutrix;CHAR;5
CODGEO;Code géographique;Code géographique;01009;Andert-et-Condon;CHAR;5
CODGEO;Code géographique;Code géographique;01010;Anglefort;CHAR;5
CODGEO;Code géographique;Code géographique;01011;Apremont;CHAR;5
CODGEO;Code géographique;Code géographique;01012;Aranc;CHAR;5
CODGEO;Code géographique;Code géographique;01013;Arandas;CHAR;5
CODGEO;Code géographique;Code géographique;01014;Arbent;CHAR;5
CODGEO;Code géographique;Code géographique;01015;Arboys en Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01016;Arbigny;CHAR;5
CODGEO;Code géographique;Code géographique;01017;Argis;CHAR;5
CODGEO;Code géographique;Code géographique;01019;Armix;CHAR;5
CODGEO;Code géographique;Code géographique;01021;Ars-sur-Formans;CHAR;5
CODGEO;Code géographique;Code géographique;01022;Artemare;CHAR;5
CODGEO;Code géographique;Code géographique;01023;Asnières-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01024;Attignat;CHAR;5
CODGEO;Code géographique;Code géographique;01025;Bâgé-Dommartin;CHAR;5
CODGEO;Code géographique;Code géographique;01026;Bâgé-le-Châtel;CHAR;5
CODGEO;Code géographique;Code géographique;01027;Balan;CHAR;5
CODGEO;Code géographique;Code géographique;01028;Baneins;CHAR;5
CODGEO;Code géographique;Code géographique;01029;Beaupont;CHAR;5
CODGEO;Code géographique;Code géographique;01030;Beauregard;CHAR;5
CODGEO;Code géographique;Code géographique;01031;Bellignat;CHAR;5
CODGEO;Code géographique;Code géographique;01032;Béligneux;CHAR;5
CODGEO;Code géographique;Code géographique;01033;Valserhône;CHAR;5
CODGEO;Code géographique;Code géographique;01034;Belley;CHAR;5
CODGEO;Code géographique;Code géographique;01035;Belleydoux;CHAR;5
CODGEO;Code géographique;Code géographique;01036;Valromey-sur-Séran;CHAR;5
CODGEO;Code géographique;Code géographique;01037;Bénonces;CHAR;5
CODGEO;Code géographique;Code géographique;01038;Bény;CHAR;5
CODGEO;Code géographique;Code géographique;01039;Béon;CHAR;5
CODGEO;Code géographique;Code géographique;01040;Béréziat;CHAR;5
CODGEO;Code géographique;Code géographique;01041;Bettant;CHAR;5
CODGEO;Code géographique;Code géographique;01042;Bey;CHAR;5
CODGEO;Code géographique;Code géographique;01043;Beynost;CHAR;5
